Sentence_id	Prior_Emotion	Sentence	Temporal_Distance	Intensity	Duration	Gender	City	Country	Worker_id	Time	Anger	Disgust	Fear	Guilt	Joy	Sadness	Shame
271	Fear	I felt ... when my 2 year old broke her leg, and we felt helpless to assist her.	Y	Vi	Dom	Ml	Bristol	GBR	87	11/28/2018 00:58:52	0	0	0	1	0	3	1
597	Shame	I felt ... one Christmas as one of our patients lives alone and would be spending Christmas by herself. I arranged for her to spend the day with her local church. They were going to pick her up and she would spend the day with other people who would otherwise be on their own. When I visited her after Christmas and asked her if she enjoyed Christmas day, she told me that they had forgotten to pick her up. I felt ... as if I had let her down even though I couldn't have done anymore.	Y	I	Dom	Fl	Dulwich	GBR	86	11/26/2018 06:52:02	1	0	0	4	0	0	0
282	Guilt	I felt ... because I could not help a friend when she was really in need of help but I had already promised to be somewhere else that week, and could not let that person down.	M	Mi	Dom	Fl	Linlithgow	GBR	83	11/21/2018 18:45:00	0	0	0	4	0	1	0
171	Disgust	I felt ... when I read that hunters had killed one of the world famous lions.	Y	Mi	H	Ml	Bristol	GBR	87	11/28/2018 00:55:11	3	0	0	0	0	2	0
509	Sadness	I felt ... when my Gran passed away.	Y	Vi	Dom	Fl	Stoke-on-trent	GBR	92	11/26/2018 09:23:38	0	0	0	0	0	5	0
181	Disgust	I felt ... when I stepped in dog shit on the way to the shops.	M	I	H	Fl	Shepherds Bush	GBR	90	11/28/2018 21:42:00	0	5	0	0	0	0	0
218	Fear	I felt ... when an aeroplane I was on hit a heavy turbulence and dropped a long way down suddenly.	Y	Vi	Sh	Ml	Prescot	GBR	63	11/24/2018 09:14:44	0	0	5	0	0	0	0
642	Shame	I felt ... when my daughter was rude to my wife.	D	N	Fm	Ml	Chelmsford	GBR	91	11/26/2018 23:35:24	3	0	0	0	0	2	0
553	Sadness	I felt ... when my lover Pierre-Guillaume left me for another woman.	M	Vi	Dom	Fl	nan	GBR	105	11/28/2018 09:31:20	4	0	0	0	0	1	0
58	Anger	I felt ... when someone hit my wife's car and drove away.	W	Mi	H	Ml	Bristol	GBR	87	11/28/2018 00:53:03	5	0	0	0	0	0	0
102	Disgust	I felt ... with myself for gambling more money than I could not afford.	W	I	Sh	Ml	Droitwich	GBR	119	11/22/2018 14:38:42	3	1	0	1	0	0	0
443	Joy	I felt ... when I found some money in the street.	Y	I	Sh	Fl	Hull	GBR	74	11/26/2018 22:35:57	0	0	0	0	5	0	0
32	Anger	I felt ... when I was driving earlier and cyclists cut in front of me when it was my right of way. It scared me that I thought I might hit and hurt them, but it would have been entirely their own fault.	D	Mi	Fm	Fl	Oxford	GBR	92	11/22/2018 22:37:15	4	0	1	0	0	0	0
607	Shame	I felt ... when was in the doctors surgery and the receptionist announced my medical issues very loudly, for all to hear.	M	I	H	Fl	Hull	GBR	74	11/26/2018 22:41:39	0	0	0	0	0	0	5
127	Disgust	I feel ... to watch someone eat insects on television.	W	N	Fm	Ml	nan	GBR	88	11/26/2018 08:27:11	0	5	0	0	0	0	0
105	Disgust	I felt ... when my mom offered me curry.	D	Mi	Fm	Ml	Caldicot	GBR	106	11/23/2018 10:23:06	0	2	0	0	3	0	0
381	Joy	I felt ... because my son was picked as the outstanding student of the year at his university. He had a real struggle to understand how to express himself, many tears and frustrations, but he fought through and got there. I was so delighted for him.	M	Vi	Dom	Fl	Earith	GBR	62	11/23/2018 19:13:46	0	0	0	0	5	0	0
276	Fear	I felt ... when I went to the bank for a meeting with the manager about a loan application, wondering with apprehension what black marks may have accrued on my credit history.	M	I	Sh	Ml	nan	GBR	68	11/28/2018 09:57:13	0	0	5	0	0	0	0
566	Shame	I felt ... when I was caught under pricing a water melon in a local supermarket. I did it because I was feeling not too well at the time. Never went back to do shopping there.	Y	Vi	Dom	Fl	nan	GBR	105	11/22/2018 21:13:49	0	0	0	2	0	0	3
502	Sadness	I feel ... when I think about the effects of BREXIT on destroying peace in Europe.	D	I	Sh	Fl	Shepherds Bush	GBR	90	11/25/2018 15:52:01	3	0	1	0	0	1	0
230	Fear	I felt ... when walking home alone late at night. I had to walk down a dark alley way and felt very vulnerable and ... of being followed.	W	Mi	Fm	Fl	Cambridge	GBR	116	11/26/2018 21:34:19	0	0	5	0	0	0	0
382	Joy	I felt ... when I received a bonus at work.	M	Mi	Fm	Ml	Chelmsford	GBR	91	11/23/2018 22:48:16	0	0	0	0	5	0	0
525	Sadness	I felt ... when my 15 year old cat had to be put to sleep in my arms because she had a tumour on her heel that could not be operated on because of the location.	M	Vi	Dom	Fl	Bedford	GBR	97	11/26/2018 15:59:59	0	0	0	0	0	5	0
